sequence,event_time_ns,symbol,type,bid_ticks,bid_size,ask_ticks,ask_size,trade_ticks,trade_size
1,10000000,TEST_A,QUOTE,998900,11,999100,4,,
2,20000000,TEST_A,TRADE,,,,,999000,10
3,30000000,TEST_A,QUOTE,998900,9,999100,5,,
4,40000000,TEST_A,TRADE,,,,,999000,10
5,50000000,TEST_B,QUOTE,998900,11,999100,6,,
6,60000000,TEST_B,TRADE,,,,,999000,10
7,70000000,TEST_B,QUOTE,998900,6,999100,19,,
8,80000000,TEST_B,TRADE,,,,,999000,10
9,90000000,TEST_A,QUOTE,1002900,20,1003100,14,,
10,100000000,TEST_A,TRADE,,,,,1003000,10
